Sample	SE mapped uniquely	SE multimapped	SE not aligned
PASA_bowtie2_Female_C12_RT_1	5940725.0	8166352.0	6809649.0
PASA_bowtie2_Female_C12_RT_2	8844759.0	12187808.0	9489552.0
PASA_bowtie2_Female_C12_RT_3	8620136.0	11469440.0	10313158.0
PASA_bowtie2_Female_C3_RT_1	5835963.0	8023170.0	7591968.0
PASA_bowtie2_Female_C3_RT_2	6727460.0	9316580.0	8418570.0
PASA_bowtie2_Female_C3_RT_3	7188063.0	10001402.0	9189484.0
PASA_bowtie2_Female_C6_H_1	16283263.0	27616857.0	10564433.0
PASA_bowtie2_Female_C6_H_2	6446196.0	10832332.0	4594927.0
PASA_bowtie2_Female_C6_OV_1	17052179.0	26894182.0	9647781.0
PASA_bowtie2_Female_C6_OV_2	15951429.0	24817436.0	8941590.0
PASA_bowtie2_Female_C6_RT_1	8869120.0	12384645.0	10972541.0
PASA_bowtie2_Female_C6_RT_2	10306833.0	13996211.0	13435729.0
PASA_bowtie2_Female_C6_RT_3	6402566.0	8887403.0	8240065.0
PASA_bowtie2_Female_H12_RT_1	14687662.0	20150345.0	13393467.0
PASA_bowtie2_Female_H12_RT_2	15858698.0	22218024.0	14713066.0
PASA_bowtie2_Female_H12_RT_3	13367654.0	17954085.0	17696132.0
PASA_bowtie2_Female_H3_RT_1	16012205.0	22345488.0	16072166.0
PASA_bowtie2_Female_H3_RT_2	8050307.0	11442828.0	8383615.0
PASA_bowtie2_Female_H3_RT_3	14606945.0	21144331.0	13518347.0
PASA_bowtie2_Female_H6_H_1	6481636.0	11205462.0	3745259.0
PASA_bowtie2_Female_H6_H_2	7013522.0	11992604.0	4073827.0
PASA_bowtie2_Female_H6_OV_1	7016876.0	11209902.0	3608536.0
PASA_bowtie2_Female_H6_OV_2	7282533.0	11655510.0	3562161.0
PASA_bowtie2_Female_H6_RT_1	18688209.0	26108129.0	18664805.0
PASA_bowtie2_Female_H6_RT_2	19518820.0	27495168.0	19365341.0
PASA_bowtie2_Female_H6_RT_3	9002985.0	12440609.0	8235631.0
PASA_bowtie2_Female_V_CR_1	6664696.0	13044365.0	3866487.0
PASA_bowtie2_Female_V_CR_2	6909714.0	12661609.0	3879378.0
PASA_bowtie2_Female_V_H_1	8130875.0	14370163.0	6946749.0
PASA_bowtie2_Female_V_H_2	5971114.0	10279182.0	5601834.0
PASA_bowtie2_Female_V_OV_1	7136787.0	11316144.0	3735306.0
PASA_bowtie2_Female_V_OV_2	7263647.0	11680320.0	4020156.0
PASA_bowtie2_Female_V_RT_1	12361414.0	17457243.0	12186756.0
PASA_bowtie2_Female_V_RT_2	10652608.0	15069282.0	11028955.0
PASA_bowtie2_Female_V_RT_3	15464212.0	21764980.0	14310796.0
PASA_bowtie2_Male_AG_2	8010828.0	33023918.0	6120604.0
PASA_bowtie2_Male_AG_3	6649441.0	28509186.0	2339808.0
PASA_bowtie2_Male_CR_2	6926703.0	12130787.0	2122584.0
PASA_bowtie2_Male_CR_3	5715282.0	12079076.0	2857318.0
PASA_bowtie2_Male_EB_1	18506010.0	13072608.0	21906110.0
PASA_bowtie2_Male_EB_2	8101353.0	7753986.0	9133187.0
PASA_bowtie2_Male_TS_2	11148416.0	18774749.0	1632862.0
PASA_bowtie2_Male_TS_3	11470140.0	19707067.0	1748234.0
annotated_bowtie2_Female_C12_RT_1	8735111.0	5543471.0	6638144.0
annotated_bowtie2_Female_C12_RT_2	13255086.0	8081798.0	9185235.0
annotated_bowtie2_Female_C12_RT_3	13577790.0	7308231.0	9516713.0
annotated_bowtie2_Female_C3_RT_1	8917021.0	5293545.0	7240535.0
annotated_bowtie2_Female_C3_RT_2	10150912.0	6467792.0	7843906.0
annotated_bowtie2_Female_C3_RT_3	10746201.0	6913952.0	8718796.0
annotated_bowtie2_Female_C6_H_1	26077128.0	13969394.0	14418031.0
annotated_bowtie2_Female_C6_H_2	10328856.0	5490995.0	6053604.0
annotated_bowtie2_Female_C6_OV_1	32197575.0	12176493.0	9220074.0
annotated_bowtie2_Female_C6_OV_2	29700207.0	11508754.0	8501494.0
