Sample	total_reads	unpaired_total	unpaired_aligned_none	unpaired_aligned_one	unpaired_aligned_multi	overall_alignment_rate	paired_total	paired_aligned_none	paired_aligned_one	paired_aligned_multi	paired_aligned_discord_one	paired_aligned_mate_none	paired_aligned_mate_one	paired_aligned_mate_multi	paired_aligned_mate_multi_halved	paired_aligned_mate_none_halved	paired_aligned_mate_one_halved
PASA_bowtie2_Female_C12_RT_1	20916726	20916726	6809649	5940725	8166352	67.44											
PASA_bowtie2_Female_C12_RT_2	30522119	30522119	9489552	8844759	12187808	68.91											
PASA_bowtie2_Female_C12_RT_3	30402734	30402734	10313158	8620136	11469440	66.08											
PASA_bowtie2_Female_C3_RT_1	21451101	21451101	7591968	5835963	8023170	64.61											
PASA_bowtie2_Female_C3_RT_2	24462610	24462610	8418570	6727460	9316580	65.59											
PASA_bowtie2_Female_C3_RT_3	26378949	26378949	9189484	7188063	10001402	65.16											
PASA_bowtie2_Female_C6_H_1	54464553	54464553	10564433	16283263	27616857	80.6											
PASA_bowtie2_Female_C6_H_2	21873455	21873455	4594927	6446196	10832332	78.99											
PASA_bowtie2_Female_C6_OV_1	53594142	53594142	9647781	17052179	26894182	82.0											
PASA_bowtie2_Female_C6_OV_2	49710455	49710455	8941590	15951429	24817436	82.01											
PASA_bowtie2_Female_C6_RT_1	32226306	32226306	10972541	8869120	12384645	65.95											
PASA_bowtie2_Female_C6_RT_2	37738773	37738773	13435729	10306833	13996211	64.4											
PASA_bowtie2_Female_C6_RT_3	23530034	23530034	8240065	6402566	8887403	64.98											
PASA_bowtie2_Female_H12_RT_1	48231474	48231474	13393467	14687662	20150345	72.23											
PASA_bowtie2_Female_H12_RT_2	52789788	52789788	14713066	15858698	22218024	72.13											
PASA_bowtie2_Female_H12_RT_3	49017871	49017871	17696132	13367654	17954085	63.9											
PASA_bowtie2_Female_H3_RT_1	54429859	54429859	16072166	16012205	22345488	70.47											
PASA_bowtie2_Female_H3_RT_2	27876750	27876750	8383615	8050307	11442828	69.93											
PASA_bowtie2_Female_H3_RT_3	49269623	49269623	13518347	14606945	21144331	72.56											
PASA_bowtie2_Female_H6_H_1	21432357	21432357	3745259	6481636	11205462	82.53											
PASA_bowtie2_Female_H6_H_2	23079953	23079953	4073827	7013522	11992604	82.35											
PASA_bowtie2_Female_H6_OV_1	21835314	21835314	3608536	7016876	11209902	83.47											
PASA_bowtie2_Female_H6_OV_2	22500204	22500204	3562161	7282533	11655510	84.17											
PASA_bowtie2_Female_H6_RT_1	63461143	63461143	18664805	18688209	26108129	70.59											
PASA_bowtie2_Female_H6_RT_2	66379329	66379329	19365341	19518820	27495168	70.83											
PASA_bowtie2_Female_H6_RT_3	29679225	29679225	8235631	9002985	12440609	72.25											
PASA_bowtie2_Female_V_CR_1	23575548	23575548	3866487	6664696	13044365	83.6											
PASA_bowtie2_Female_V_CR_2	23450701	23450701	3879378	6909714	12661609	83.46											
PASA_bowtie2_Female_V_H_1	29447787	29447787	6946749	8130875	14370163	76.41											
