Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	kmer_content
Female_C12_RT_1.R1	Female_C12_RT_1.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20916726.0	0.0	36-91	47.0	63.370712468408506	88.85512168586996	pass	fail	warn	pass	warn	warn	pass	warn	warn	warn	fail	fail
Female_C12_RT_2.R1	Female_C12_RT_2.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	30522119.0	0.0	37-91	47.0	58.88646572606291	88.73813564516932	pass	fail	warn	pass	warn	warn	pass	warn	warn	warn	warn	fail
Female_C12_RT_3.R1	Female_C12_RT_3.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	30402734.0	0.0	36-91	47.0	27.83602827387751	89.93029383475842	pass	pass	warn	pass	pass	fail	pass	warn	fail	warn	fail	fail
Female_C3_RT_1.R1	Female_C3_RT_1.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21451101.0	0.0	36-91	48.0	32.50057920204958	89.91678180061713	pass	pass	pass	pass	pass	fail	pass	warn	fail	warn	fail	fail
Female_C3_RT_2.R1	Female_C3_RT_2.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	24462610.0	0.0	36-91	48.0	33.056382955434714	89.9311326959797	pass	pass	warn	pass	pass	fail	pass	warn	fail	warn	fail	fail
Female_C3_RT_3.R1	Female_C3_RT_3.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	26378949.0	0.0	36-91	48.0	31.09885353292056	89.93346861544786	pass	pass	warn	pass	pass	fail	pass	warn	fail	warn	fail	fail
Female_C6_H_1.R1	Female_C6_H_1.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	54464553.0	0.0	41-91	47.0	33.17069269300713	89.89722405322964	pass	pass	pass	pass	pass	fail	pass	warn	fail	warn	warn	fail
Female_C6_H_2.R1	Female_C6_H_2.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21873455.0	0.0	41-91	46.0	45.45077159725353	89.29560547247794	pass	fail	warn	pass	warn	fail	pass	warn	fail	warn	warn	fail
Female_C6_OV_1.R1	Female_C6_OV_1.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	53594142.0	0.0	48-91	49.0	30.185918031852175	90.8407263801331	pass	pass	warn	pass	pass	fail	pass	warn	fail	pass	warn	fail
Female_C6_OV_2.R1	Female_C6_OV_2.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	49710455.0	0.0	36-91	49.0	31.07458824774156	89.89901074130181	pass	pass	warn	pass	pass	fail	pass	warn	fail	pass	warn	fail
