Sample	FastQC_percent_duplicates-1	FastQC_percent_gc-1	FastQC_avg_sequence_length-1	FastQC_percent_fails-1	FastQC_total_sequences-1	Bowtie 2_overall_alignment_rate-1
Female_C12_RT_1.R1	36.629287531591494	47.0	88.85512168586996	25.0	20916726.0	
Female_C12_RT_2.R1	41.11353427393709	47.0	88.73813564516932	16.666666666666664	30522119.0	
Female_C12_RT_3.R1	72.1639717261225	47.0	89.93029383475842	33.33333333333333	30402734.0	
Female_C3_RT_1.R1	67.49942079795042	48.0	89.91678180061713	33.33333333333333	21451101.0	
Female_C3_RT_2.R1	66.94361704456529	48.0	89.9311326959797	33.33333333333333	24462610.0	
Female_C3_RT_3.R1	68.90114646707944	48.0	89.93346861544786	33.33333333333333	26378949.0	
Female_C6_H_1.R1	66.82930730699286	47.0	89.89722405322964	25.0	54464553.0	
Female_C6_H_2.R1	54.54922840274647	46.0	89.29560547247794	33.33333333333333	21873455.0	
Female_C6_OV_1.R1	69.81408196814783	49.0	90.8407263801331	25.0	53594142.0	
Female_C6_OV_2.R1	68.92541175225844	49.0	89.89901074130181	25.0	49710455.0	
Female_C6_RT_1.R1	71.33310450503822	48.0	89.93664331245412	33.33333333333333	32226306.0	
Female_C6_RT_2.R1	72.64859263638576	48.0	89.9318570320238	33.33333333333333	37738773.0	
Female_C6_RT_3.R1	29.87051925794924	49.0	89.44014743030121	25.0	23530034.0	
Female_H12_RT_1.R1	77.2803491717997	48.0	89.9408607333875	25.0	48231474.0	
Female_H12_RT_2.R1	77.42951090226802	47.0	89.93987712168877	25.0	52789788.0	
Female_H12_RT_3.R1	76.10390526289373	47.0	89.93708612926089	33.33333333333333	49017871.0	
Female_H3_RT_1.R1	75.94088960859668	48.0	89.93377770829794	25.0	54429859.0	
Female_H3_RT_2.R1	69.70669956059956	48.0	89.9396052265777	33.33333333333333	27876750.0	
Female_H3_RT_3.R1	76.59591464174206	48.0	89.93970605376867	25.0	49269623.0	
Female_H6_H_1.R1	64.02028222163491	47.0	89.92709742563545	25.0	21432357.0	
Female_H6_H_2.R1	65.41527425769661	48.0	89.94208315762168	33.33333333333333	23079953.0	
Female_H6_OV_1.R1	66.40071625264349	48.0	89.94331988997273	33.33333333333333	21835314.0	
Female_H6_OV_2.R1	67.79653786366612	49.0	89.92614280297192	25.0	22500204.0	
Female_H6_RT_1.R1	76.92198395354521	48.0	89.93380446992579	25.0	63461143.0	
Female_H6_RT_2.R1	78.82275847067403	48.0	89.93950348609279	25.0	66379329.0	
Female_H6_RT_3.R1	72.51370785298232	48.0	89.93615823863325	25.0	29679225.0	
Female_V_CR_1.R1	69.06448939022395	48.0	89.92213245689983	25.0	23575548.0	
Female_V_CR_2.R1	71.03384633014707	48.0	89.93622868672455	33.33333333333333	23450701.0	
Female_V_H_1.R1	66.47514615294975	47.0	89.92846110982805	41.66666666666667	29447787.0	
Female_V_H_2.R1	62.109010997963004	47.0	89.93390108881835	41.66666666666667	21852130.0	
Female_V_OV_1.R1	65.82974355045377	49.0	89.92118526586857	25.0	22188237.0	
Female_V_OV_2.R1	65.41836639646883	48.0	89.93322052838683	33.33333333333333	22964123.0	
Female_V_RT_1.R1	75.50915078505489	47.0	89.93620717406111	25.0	42005413.0	
Female_V_RT_2.R1	73.22369047229591	47.0	89.93355423528357	25.0	36750845.0	
Female_V_RT_3.R1	76.76343767665975	48.0	89.93382998071323	25.0	51539988.0	
Male_AG_1.R1	74.96035541074642	43.0	89.5802613695365	16.666666666666664	16172581.0	
Male_AG_1.R2	75.19298729570745	43.0	89.91874914709038	16.666666666666664	16172581.0	
Male_AG_2.R1	84.47352673103026	45.0	86.66507936003019	25.0	47155350.0	
Male_AG_3.R1	83.43983460876206	46.0	86.4052327517135	16.666666666666664	37498435.0	
Male_CR_1.R1	60.504541860057344	43.0	89.55831977792948	25.0	15133571.0	
Male_CR_1.R2	60.97530355137459	43.0	89.88008639864313	25.0	15133571.0	
Male_CR_2.R1	69.53102185472486	45.0	84.52087665038376	33.33333333333333	21180074.0	
Male_CR_3.R1	61.0278916409723	47.0	81.55633198971357	25.0	20651676.0	
