Module	Section	Sample Name	Source
Bowtie 2	all_sections	hisat2_Female_C12_RT_1	/fs/cbsufsrv5/data1/ya76/Snakemake.Output.Folders/D.novamexicana_Tuxedo2_ggTrinity_RNAseq/HISAT-2/hisat2_Female_C12_RT_1.log
Bowtie 2	all_sections	hisat2_Female_C12_RT_2	/fs/cbsufsrv5/data1/ya76/Snakemake.Output.Folders/D.novamexicana_Tuxedo2_ggTrinity_RNAseq/HISAT-2/hisat2_Female_C12_RT_2.log
Bowtie 2	all_sections	hisat2_Female_C12_RT_3	/fs/cbsufsrv5/data1/ya76/Snakemake.Output.Folders/D.novamexicana_Tuxedo2_ggTrinity_RNAseq/HISAT-2/hisat2_Female_C12_RT_3.log
Bowtie 2	all_sections	hisat2_Female_C3_RT_1	/fs/cbsufsrv5/data1/ya76/Snakemake.Output.Folders/D.novamexicana_Tuxedo2_ggTrinity_RNAseq/HISAT-2/hisat2_Female_C3_RT_1.log
Bowtie 2	all_sections	hisat2_Female_C3_RT_2	/fs/cbsufsrv5/data1/ya76/Snakemake.Output.Folders/D.novamexicana_Tuxedo2_ggTrinity_RNAseq/HISAT-2/hisat2_Female_C3_RT_2.log
Bowtie 2	all_sections	hisat2_Female_C3_RT_3	/fs/cbsufsrv5/data1/ya76/Snakemake.Output.Folders/D.novamexicana_Tuxedo2_ggTrinity_RNAseq/HISAT-2/hisat2_Female_C3_RT_3.log
Bowtie 2	all_sections	hisat2_Female_C6_H_1	/fs/cbsufsrv5/data1/ya76/Snakemake.Output.Folders/D.novamexicana_Tuxedo2_ggTrinity_RNAseq/HISAT-2/hisat2_Female_C6_H_1.log
Bowtie 2	all_sections	hisat2_Female_C6_H_2	/fs/cbsufsrv5/data1/ya76/Snakemake.Output.Folders/D.novamexicana_Tuxedo2_ggTrinity_RNAseq/HISAT-2/hisat2_Female_C6_H_2.log
Bowtie 2	all_sections	hisat2_Female_C6_OV_1	/fs/cbsufsrv5/data1/ya76/Snakemake.Output.Folders/D.novamexicana_Tuxedo2_ggTrinity_RNAseq/HISAT-2/hisat2_Female_C6_OV_1.log
Bowtie 2	all_sections	hisat2_Female_C6_OV_2	/fs/cbsufsrv5/data1/ya76/Snakemake.Output.Folders/D.novamexicana_Tuxedo2_ggTrinity_RNAseq/HISAT-2/hisat2_Female_C6_OV_2.log
Bowtie 2	all_sections	hisat2_Female_C6_RT_1	/fs/cbsufsrv5/data1/ya76/Snakemake.Output.Folders/D.novamexicana_Tuxedo2_ggTrinity_RNAseq/HISAT-2/hisat2_Female_C6_RT_1.log
Bowtie 2	all_sections	hisat2_Female_C6_RT_2	/fs/cbsufsrv5/data1/ya76/Snakemake.Output.Folders/D.novamexicana_Tuxedo2_ggTrinity_RNAseq/HISAT-2/hisat2_Female_C6_RT_2.log
Bowtie 2	all_sections	hisat2_Female_C6_RT_3	/fs/cbsufsrv5/data1/ya76/Snakemake.Output.Folders/D.novamexicana_Tuxedo2_ggTrinity_RNAseq/HISAT-2/hisat2_Female_C6_RT_3.log
Bowtie 2	all_sections	hisat2_Female_H12_RT_1	/fs/cbsufsrv5/data1/ya76/Snakemake.Output.Folders/D.novamexicana_Tuxedo2_ggTrinity_RNAseq/HISAT-2/hisat2_Female_H12_RT_1.log
Bowtie 2	all_sections	hisat2_Female_H12_RT_2	/fs/cbsufsrv5/data1/ya76/Snakemake.Output.Folders/D.novamexicana_Tuxedo2_ggTrinity_RNAseq/HISAT-2/hisat2_Female_H12_RT_2.log
Bowtie 2	all_sections	hisat2_Female_H12_RT_3	/fs/cbsufsrv5/data1/ya76/Snakemake.Output.Folders/D.novamexicana_Tuxedo2_ggTrinity_RNAseq/HISAT-2/hisat2_Female_H12_RT_3.log
