SampleName	Replicate	Tissue	Status	time
C12_RT	C12_RT_1	repTract	conspecific	12hpm
C12_RT	C12_RT_2	repTract	conspecific	12hpm
C12_RT	C12_RT_3	repTract	conspecific	12hpm
C3_RT	C3_RT_1	repTract	conspecific	3hpm
C3_RT	C3_RT_2	repTract	conspecific	3hpm
C3_RT	C3_RT_3	repTract	conspecific	3hpm
C6_H	C6_H_1	head	conspecific	6hpm
C6_H	C6_H_2	head	conspecific	6hpm
C6_OV	C6_OV_1	ovaries	conspecific	6hpm
C6_OV	C6_OV_2	ovaries	conspecific	6hpm
C6_RT	C6_RT_1	repTract	conspecific	6hpm
C6_RT	C6_RT_2	repTract	conspecific	6hpm
C6_RT	C6_RT_3	repTract	conspecific	6hpm
H12_RT	H12_RT_1	repTract	heterospecific	12hpm
H12_RT	H12_RT_2	repTract	heterospecific	12hpm
H12_RT	H12_RT_3	repTract	heterospecific	12hpm
H3_RT	H3_RT_1	repTract	heterospecific	3hpm
H3_RT	H3_RT_2	repTract	heterospecific	3hpm
H3_RT	H3_RT_3	repTract	heterospecific	3hpm
H6_H	H6_H_1	head	heterospecific	6hpm
H6_H	H6_H_2	head	heterospecific	6hpm
H6_OV	H6_OV_1	ovaries	heterospecific	6hpm
H6_OV	H6_OV_2	ovaries	heterospecific	6hpm
H6_RT	H6_RT_1	repTract	heterospecific	6hpm
H6_RT	H6_RT_2	repTract	heterospecific	6hpm
H6_RT	H6_RT_3	repTract	heterospecific	6hpm
V_CR	V_CR_1	carcass	virgin	0hpm
V_CR	V_CR_2	carcass	virgin	0hpm
V_H	V_H_1	head	virgin	0hpm
V_H	V_H_2	head	virgin	0hpm
V_OV	V_OV_1	ovaries	virgin	0hpm
V_OV	V_OV_2	ovaries	virgin	0hpm
V_RT	V_RT_1	repTract	virgin	0hpm
V_RT	V_RT_2	repTract	virgin	0hpm
V_RT	V_RT_3	repTract	virgin	0hpm
